ESTATÍSTICAS DE UTILIZAÇÃO DE VPN DO 5º CTA – 09:00 ÀS 17:00,,,,,
,,,,,
DATA,NR DE USUÁRIOS VPN CADASTRADOS,NR MÁX CONEXÕES SIMULTÂNEAS VPN,CAPACIDADE TOTAL ENLACES INTERNET,CONSUMO MÉDIO ENLACES INTERNET,CONSUMO MÁX ENLACES INTERNET
22/07/21,1902,32,500 Mbps,109 Mbps,298 Mbps
23/07/21,1902,40,500 Mbps,43 Mbps,192 Mbps
24/07/21,1902,9,500 Mbps,29 Mbps,73 Mbps
25/07/21,1902,10,500 Mbps,17 Mbps,55 Mbps
26/07/21,1902,37,500 Mbps,115 Mbps,283 Mbps
27/07/21,1902,42,500 Mbps,109 Mbps,364 Mbps
28/07/21,1910,39,500 Mbps,116 Mbps,241 Mbps
29/07/21,1910,42,500 Mbps,120 Mbps,275 Mbps
30/07/21,1910,39,500 Mbps,45 Mbps,266 Mbps
31/07/21,1910,11,500 Mbps,8 Mbps,32 Mbps
01/08/21,1910,11,500 Mbps,19 Mbps,89 Mbps
02/08/21,1910,40,500 Mbps,112 Mbps,250 Mbps
03/08/21,1910,39,500 Mbps,122 Mbps,326 Mbps
04/08/21,1910,34,500 Mbps,130 Mbps,463 Mbps
05/08/21,1913,36,500 Mbps,117 Mbps,253 Mbps
06/08/21,1913,33,500 Mbps,78 Mbps,305 Mbps
07/08/21,1913,8,500 Mbps,18 Mbps,70 Mbps
08/08/21,1913,7,500 Mbps,24 Mbps,61 Mbps
09/08/21,1913,43,500 Mbps,132 Mbps,306 Mbps
10/08/21,1914,39,500 Mbps,131 Mbps,284 Mbps
11/08/21,1915,39,500 Mbps,124 Mbps,392 Mbps
12/08/21,1915,36,500 Mbps,128 Mbps,314 Mbps
13/08/21,1915,32,500 Mbps,64 Mbps,205 Mbps
14/08/21,1915,10,500 Mbps,18 Mbps,84 Mbps
15/08/21,1915,6,500 Mbps,29 Mbps,233 Mbps
16/08/21,1915,30,500 Mbps,113 Mbps,258 Mbps
17/08/21,1913,34,500 Mbps,93 Mbps,271 Mbps
18/08/21,1913,31,500 Mbps,111 Mbps,265 Mbps
19/08/21,1913,28,500 Mbps,124 Mbps,290 Mbps
20/08/21,1913,37,500 Mbps,58 Mbps,223 Mbps
21/08/21,1913,9,500 Mbps,16 Mbps,79 Mbps
22/08/21,1913,9,500 Mbps,20 Mbps,89 Mbps
23/08/21,,,,,
24/08/21,,,,,
25/08/21,,,,,
26/08/21,,,,,
